nitrogen,phosphorus,potassium,crop_name,source_file,processed_date,country,agro_ecological_zone,crop_code,area_hectares,suitability_very_suitable,suitability_suitable,suitability_moderately_suitable,suitability_marginally_suitable,suitability_very_marginally_suitable,suitability_not_suitable,yield_maximum,yield_very_suitable,yield_suitable,yield_moderately_suitable,yield_marginally_suitable,yield_very_marginally_suitable,pH,organic_matter,texture_class,total_suitable_area,temperature_mean,humidity_mean,rainfall_mean,region
50,15,100,sunflower,sfl_IPSL-CM5A-LR_rcp4p5_2020sHr_ctr.csv,2025-10-22T19:32:35.424512,Uganda,1,sfl,50.4257,33.8633,12.9439,0.943665,0.137712,2.53708,0,4716,4632,3594,2501,1425,292,6.5,2,Unknown,46.8072,,,,
50,15,100,sunflower,sfl_IPSL-CM5A-LR_rcp4p5_2020sHr_ctr.csv,2025-10-22T19:32:35.424512,Uganda,2,sfl,519.461,362.398,70.8068,43.5552,0.0136242,42.6871,0,4752,4378,3365,2686,1596,431,6.5,2,Unknown,433.2048,,,,
50,15,100,sunflower,sfl_IPSL-CM5A-LR_rcp4p5_2020sHr_ctr.csv,2025-10-22T19:32:35.424512,Uganda,3,sfl,5024.5,790.196,3235.76,849.293,19.8948,124.902,4.44558,4564,4123,3418,2570,1614,306,6.5,2,Unknown,4025.956,,,,
50,15,100,sunflower,sfl_IPSL-CM5A-LR_rcp4p5_2020sHr_ctr.csv,2025-10-22T19:32:35.424512,Uganda,5,sfl,2.27E-08,4.26E-09,1.84E-08,0,0,0,0,4568,4568,3498,0,0,0,6.5,2,Unknown,2.27E-08,,,,
50,15,100,sunflower,sfl_IPSL-CM5A-LR_rcp4p5_2020sHr_ctr.csv,2025-10-22T19:32:35.424512,Uganda,6,sfl,331.619,2.04934,117.595,98.3724,21.4267,39.1345,53.0409,4226,3941,3230,2380,1589,204,6.5,2,Unknown,119.64434,,,,
50,15,100,sunflower,sfl_IPSL-CM5A-LR_rcp4p5_2020sHr_ctr.csv,2025-10-22T19:32:35.424512,Uganda,25,sfl,4.71593,0.131534,2.98145,1.59979,0.00314306,0,7.08E-06,4194,4194,3312,2396,1591,0,6.5,2,Unknown,3.112984,,,,
50,15,100,sunflower,sfl_IPSL-CM5A-LR_rcp4p5_2020sHr_ctr.csv,2025-10-22T19:32:35.424512,Uganda,26,sfl,173.373,19.0907,50.8786,18.805,2.03065,64.7386,17.8297,4520,4184,3522,2535,1569,340,6.5,2,Unknown,69.9693,,,,
50,15,100,sunflower,sfl_IPSL-CM5A-LR_rcp4p5_2020sHr_ctr.csv,2025-10-22T19:32:35.424512,Uganda,27,sfl,6.14535,0,6.14535,0,0,0,0,3182,0,3182,0,0,0,6.5,2,Unknown,6.14535,,,,
50,15,100,sunflower,sfl_IPSL-CM5A-LR_rcp4p5_2020sHr_ctr.csv,2025-10-22T19:32:35.424512,Uganda,28,sfl,4.55975,4.07794,0.481811,0,0,0,0,4468,4328,3734,0,0,0,6.5,2,Unknown,4.559751,,,,
50,15,100,sunflower,sfl_IPSL-CM5A-LR_rcp4p5_2020sHr_ctr.csv,2025-10-22T19:32:35.424512,Uganda,33,sfl,80.4341,6.93667,34.0201,36.7697,0.0706569,1.33463,1.30241,4404,4151,3238,2617,1581,299,6.5,2,Unknown,40.95677,,,,
